"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_CLOS_EXCEPTION","DAYID","false","date","PK","PK (1/5) — Driving: NG_SB_CLOS_EXCEPTION. Ngày dữ liệu",":ETL_DATE","direct","NG_SB_CLOS_EXCEPTION","","Ảnh chụp đầy đủ theo ngày (quy trình A2). Nguồn LOẠI 1, khóa CDC khai đủ WI_NAME+EXCEPTION_CATEGORY+RAISED_BY+RAISED_DATE_TIME"
"FCT_CLOS_EXCEPTION","WI_NAME","false","string(100)","PK","PK (2/5) — mã hồ sơ tín dụng CLOS","NG_SB_CLOS_EXCEPTION.WI_NAME","direct","NG_SB_CLOS_EXCEPTION","WI_NAME",""
"FCT_CLOS_EXCEPTION","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION theo phiên bản hiệu lực tại DAYID","JOIN DIM_CLOS_APPLICATION ON WI_NAME=<current>.WI_NAME AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_CLOS_APPLICATION","DIMENSION_KEY","Mặc định -1"
"FCT_CLOS_EXCEPTION","EXCEPTION_REASON_SK","false","number","","Khóa tới DIM_CLOS_EXCEPTION_REASON — lookup 2 bước","(1) LEFT JOIN DIM_CLOS_EXCEPTION_REASON (d) ON d.EXCEPTION_CATEGORY=a.EXCEPTION_CATEGORY AND d.EXCEPTION_NAME=a.EXCEPTION_NAME (có thể khớp nhiều dòng); (2) lọc còn đúng 1 dòng bằng EXISTS NG_SB_CLOS_ENTRY_EXIT (h) WHERE h.WINAME=a.WI_NAME AND h.WORKSTEP=d.ACTIVITYNAME AND h.DECISION=d.DECISION_CODE → DIMENSION_KEY","join","DIM_CLOS_EXCEPTION_REASON","DIMENSION_KEY","Không phải lookup 1 cột đơn giản — chỉ giữ tổ hợp đã thực sự xảy ra trong lịch sử xử lý hồ sơ. Mặc định -1 nếu không còn dòng nào khớp"
"FCT_CLOS_EXCEPTION","RAISED_BY_USER_SK","false","number","","Khóa tới DIM_LOS_USER, người nêu lý do","JOIN DIM_LOS_USER ON USERNAME=NG_SB_CLOS_EXCEPTION.RAISED_BY AND điều kiện thời gian → DIMENSION_KEY","join","DIM_LOS_USER","DIMENSION_KEY","Mặc định -1. ĐÚNG GRAIN của bảng — 1 lần ghi nhận lý do có đúng 1 người nêu"
"FCT_CLOS_EXCEPTION","EXCEPTION_CATEGORY","false","string(500)","PK","PK (3/5) — phân nhóm nội dung cần làm rõ","NG_SB_CLOS_EXCEPTION.EXCEPTION_CATEGORY","direct","NG_SB_CLOS_EXCEPTION","EXCEPTION_CATEGORY",""
"FCT_CLOS_EXCEPTION","EXCEPTION_NAME","true","string(500)","","Tên nội dung cần làm rõ","NG_SB_CLOS_EXCEPTION.EXCEPTION_NAME","direct","NG_SB_CLOS_EXCEPTION","EXCEPTION_NAME",""
"FCT_CLOS_EXCEPTION","EXCEPTION_REMARKS","true","string(4000)","","Ghi chú của nội dung cần làm rõ","NG_SB_CLOS_EXCEPTION.EXCEPTION_REMARKS","direct","NG_SB_CLOS_EXCEPTION","EXCEPTION_REMARKS",""
"FCT_CLOS_EXCEPTION","RAISED_BY","false","string(100)","PK","PK (4/5) — người nêu nội dung cần làm rõ","NG_SB_CLOS_EXCEPTION.RAISED_BY","direct","NG_SB_CLOS_EXCEPTION","RAISED_BY","Cột RAISED_BY_USER_SK bên cạnh giữ khóa tới DIM"
"FCT_CLOS_EXCEPTION","RAISED_DATE_TIME","false","timestamp","PK","PK (5/5) — thời điểm nêu nội dung cần làm rõ","NG_SB_CLOS_EXCEPTION.RAISED_DATE_TIME","direct","NG_SB_CLOS_EXCEPTION","RAISED_DATE_TIME",""
"FCT_CLOS_EXCEPTION","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","'CLOS'","computed","","",""
"FCT_CLOS_EXCEPTION","RCTYPE","true","string(20)","","Loại ghi nhận, Raise hay Clear","NG_SB_CLOS_EXCEPTION.RCTYPE","direct","NG_SB_CLOS_EXCEPTION","RCTYPE",""
"FCT_CLOS_EXCEPTION","CHECK_FTR","true","string(20)","","Vi phạm nguyên tắc First Time Right","Mặc định 'Not First Time Right'; 'First Time Right' CHỈ KHI mọi dòng NG_SB_CLOS_EXCEPTION của hồ sơ đều khớp 1 tổ hợp ngoại lệ miễn trừ (JOIN NG_SB_CLOS_ENTRY_EXIT (h) qua h.WINAME=WI_NAME AND h.WORKSTEP=d.ACTIVITYNAME AND h.DECISION=d.DECISION, d=NG_SB_CLOS_MAS_EXCEPTION), phân theo NG_SB_CLOS_CUST_INFO.CUST_GROUP: nhóm KHDN (MSME/SME/USME) và nhóm KHDNL/ĐT&ĐCTC (FDI/SOC/JSC/NBFI/BANK/STR) — mỗi nhóm 4 tổ hợp WORKSTEP+DECISION với danh sách EXCEPTION_CATEGORY miễn trừ riêng","computed","NG_SB_CLOS_ENTRY_EXIT","WORKSTEP","review 2026-09-18, SRS BC7 cập nhật đổi hẳn công thức. Xem đầy đủ literal tại SRS BC7 BR 1.2"
