"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_CLOS_EXCEPTION","DAYID","false","date","PK","PK (1/5) — Driving: STG_FCT_CLOS_EXCEPTION. Ngày dữ liệu","STG_FCT_CLOS_EXCEPTION.DAYID","direct","STG_FCT_CLOS_EXCEPTION","DAYID","Bê nguyên 1:1 từ SB_DWH (qua vùng chìa STG_DTM), cùng grain/PK"
"FCT_CLOS_EXCEPTION","WI_NAME","false","string(100)","PK","PK (2/5) — mã hồ sơ tín dụng CLOS","STG_FCT_CLOS_EXCEPTION.WI_NAME","direct","STG_FCT_CLOS_EXCEPTION","WI_NAME",""
"FCT_CLOS_EXCEPTION","APPLICATION_SK","false","number","","Khóa tới STG_DIM_CLOS_APPLICATION","STG_FCT_CLOS_EXCEPTION.APPLICATION_SK","direct","STG_FCT_CLOS_EXCEPTION","APPLICATION_SK",""
"FCT_CLOS_EXCEPTION","EXCEPTION_REASON_SK","false","number","","Khóa tới DIM_CLOS_EXCEPTION_REASON","STG_FCT_CLOS_EXCEPTION.EXCEPTION_REASON_SK","direct","STG_FCT_CLOS_EXCEPTION","EXCEPTION_REASON_SK",""
"FCT_CLOS_EXCEPTION","RAISED_BY_USER_SK","false","number","","Khóa tới DIM_LOS_USER","STG_FCT_CLOS_EXCEPTION.RAISED_BY_USER_SK","direct","STG_FCT_CLOS_EXCEPTION","RAISED_BY_USER_SK",""
"FCT_CLOS_EXCEPTION","EXCEPTION_CATEGORY","false","string(500)","PK","PK (3/5) — phân nhóm nội dung cần làm rõ","STG_FCT_CLOS_EXCEPTION.EXCEPTION_CATEGORY","direct","STG_FCT_CLOS_EXCEPTION","EXCEPTION_CATEGORY",""
"FCT_CLOS_EXCEPTION","EXCEPTION_NAME","true","string(500)","","Tên nội dung cần làm rõ","STG_FCT_CLOS_EXCEPTION.EXCEPTION_NAME","direct","STG_FCT_CLOS_EXCEPTION","EXCEPTION_NAME",""
"FCT_CLOS_EXCEPTION","EXCEPTION_REMARKS","true","string(4000)","","Ghi chú của nội dung cần làm rõ","STG_FCT_CLOS_EXCEPTION.EXCEPTION_REMARKS","direct","STG_FCT_CLOS_EXCEPTION","EXCEPTION_REMARKS",""
"FCT_CLOS_EXCEPTION","RAISED_BY","false","string(100)","PK","PK (4/5) — người nêu nội dung cần làm rõ","STG_FCT_CLOS_EXCEPTION.RAISED_BY","direct","STG_FCT_CLOS_EXCEPTION","RAISED_BY",""
"FCT_CLOS_EXCEPTION","RAISED_DATE_TIME","false","timestamp","PK","PK (5/5) — thời điểm nêu nội dung cần làm rõ","STG_FCT_CLOS_EXCEPTION.RAISED_DATE_TIME","direct","STG_FCT_CLOS_EXCEPTION","RAISED_DATE_TIME",""
"FCT_CLOS_EXCEPTION","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_FCT_CLOS_EXCEPTION.DATASOURCE","direct","STG_FCT_CLOS_EXCEPTION","DATASOURCE",""
"FCT_CLOS_EXCEPTION","RCTYPE","true","string(20)","","Loại ghi nhận, Raise hay Clear","STG_FCT_CLOS_EXCEPTION.RCTYPE","direct","STG_FCT_CLOS_EXCEPTION","RCTYPE",""
"FCT_CLOS_EXCEPTION","CHECK_FTR","true","string(20)","","Vi phạm nguyên tắc First Time Right","STG_FCT_CLOS_EXCEPTION.CHECK_FTR","direct","STG_FCT_CLOS_EXCEPTION","CHECK_FTR",""
"FCT_CLOS_EXCEPTION","FIRST_WORKSTEP_RETURN","true","string(200)","","Bước xử lý phát sinh trả về đầu tiên","STG_FCT_CLOS_EXCEPTION.FIRST_WORKSTEP_RETURN","direct","STG_FCT_CLOS_EXCEPTION","FIRST_WORKSTEP_RETURN",""
"FCT_CLOS_EXCEPTION","PHAN_LOAI_DDE","true","string(100)","","Phân loại nguyên nhân trả về ở khâu nhập liệu","LEFT JOIN REF_PHAN_LOAI_DDE ON REF_PHAN_LOAI_DDE.EXCEPTION_CATEGORY = STG_FCT_CLOS_EXCEPTION.EXCEPTION_CATEGORY AND REF_PHAN_LOAI_DDE.SYSTEMNAME = 'CLOS' → REF_PHAN_LOAI_DDE.PHAN_LOAI_DDE","join","REF_PHAN_LOAI_DDE","PHAN_LOAI_DDE","review 2026-09-22 (chuyển tầng): REF_PHAN_LOAI_DDE chỉ tồn tại vật lý ở PDTD_DTM (không có bản SB_DWH, xem hld/HLD_REF.md mục 2.4) — công thức JOIN chuyển từ SB_DWH (vi phạm layer boundary STG_LOS→SB_DWH→STG_DTM→PDTD_DTM) sang tính tại đây, cùng cách LOANCASEID bên dưới đang làm"
"FCT_CLOS_EXCEPTION","LOANCASEID","true","string(100)","","Mã khoản vay gắn với hồ sơ","LEFT JOIN STG_DIM_CLOS_APPLICATION ON STG_DIM_CLOS_APPLICATION.DIMENSION_KEY = STG_FCT_CLOS_EXCEPTION.APPLICATION_SK → STG_DIM_CLOS_APPLICATION.LOANCASEID","join","STG_DIM_CLOS_APPLICATION","LOANCASEID","Cho BC7/BC11. Không đọc thêm STG_LOS nào ở tầng này — giữ đúng nguyên tắc DTM chỉ đọc DWH"
